date, total, active 
2022-01-13, 3, 3
2022-01-14, 7, 7
2022-01-15, 17, 17
2022-01-16, 24, 24
2022-01-17, 25, 25
2022-01-18, 25, 25
2022-01-19, 26, 26
2022-01-20, 26, 26
2022-02-02, 33, 33
2022-02-03, 33, 33
2022-02-04, 33, 33
2022-02-05, 34, 34
2022-02-06, 34, 34
2022-02-07, 34, 34
2022-02-08, 34, 34
2022-02-09, 34, 34
2022-02-10, 34, 34
2022-02-11, 34, 34
2022-02-12, 34, 34
2022-02-13, 34, 30
2022-02-14, 34, 21
2022-02-15, 36, 20
2022-02-16, 40, 24
2022-02-17, 40, 24
2022-02-18, 41, 24
2022-02-19, 41, 22
2022-02-20, 41, 22
2022-02-21, 41, 22
2022-02-22, 41, 22
2022-02-23, 44, 27
2022-02-24, 44, 27
2022-02-25, 44, 27
2022-02-26, 45, 29
2022-02-27, 46, 29
2022-02-28, 47, 30
2022-03-01, 48, 31
2022-03-02, 50, 32
2022-03-03, 52, 34
2022-03-04, 52, 34
2022-03-05, 52, 33
2022-03-06, 52, 33
2022-03-07, 52, 32
2022-03-08, 52, 32
2022-03-09, 52, 32
2022-03-10, 52, 32
2022-03-11, 54, 34
2022-03-12, 55, 35
2022-03-13, 57, 37
2022-03-14, 57, 37
2022-03-15, 57, 37
2022-03-16, 57, 37
2022-03-17, 58, 35
2022-03-18, 58, 31
2022-03-19, 58, 31
2022-03-20, 59, 32
2022-03-21, 60, 33
2022-03-22, 61, 34
2022-03-23, 61, 34
2022-03-24, 61, 34
2022-03-25, 61, 26
2022-03-26, 61, 25
2022-03-27, 61, 25
2022-03-28, 61, 23
2022-03-29, 62, 23
2022-03-30, 62, 22
2022-03-31, 62, 21
2022-04-01, 62, 16
2022-04-02, 62, 15
2022-04-03, 62, 15
2022-04-04, 62, 16
2022-04-05, 62, 17
2022-04-06, 62, 17
2022-04-07, 63, 18
2022-04-08, 63, 21
2022-04-09, 63, 21
2022-04-10, 63, 18
2022-04-11, 64, 23
2022-04-12, 66, 26
2022-04-13, 67, 27
2022-04-14, 68, 28
2022-04-15, 69, 29
2022-04-16, 69, 27
2022-04-17, 69, 27
2022-04-18, 69, 27
2022-04-19, 69, 26
2022-04-20, 70, 27
2022-04-21, 70, 26
2022-04-22, 70, 26
2022-04-23, 70, 26
2022-04-24, 70, 26
2022-04-25, 70, 25
2022-04-26, 71, 26
2022-04-27, 71, 26
2022-04-28, 71, 25
